,Pokemon,ClusterPokemon
0,Abomasnow,0
1,Abra,6
2,Absol,1
3,Accelgor,9
4,Aegislash,10
5,Aerodactyl,3
6,Aggron,2
7,Aipom,1
8,Alakazam,6
9,Alomomola,14
10,Altaria,3
11,Amaura,10
12,Ambipom,1
13,Amoonguss,5
14,Ampharos,13
15,Anorith,10
16,Arbok,5
17,Arcanine,11
18,Arceus,6
19,Arceus-Bug,6
20,Arceus-Dark,6
21,Arceus-Dragon,6
22,Arceus-Electric,6
23,Arceus-Fairy,6
24,Arceus-Fighting,6
25,Arceus-Fire,6
26,Arceus-Flying,6
27,Arceus-Ghost,6
28,Arceus-Grass,6
29,Arceus-Ground,6
30,Arceus-Ice,6
31,Arceus-Poison,6
32,Arceus-Psychic,6
33,Arceus-Rock,6
34,Arceus-Steel,6
35,Arceus-Water,6
36,Archen,3
37,Archeops,3
38,Ariados,5
39,Armaldo,10
40,Aromatisse,12
41,Aron,10
42,Articuno,16
43,Audino,12
44,Aurorus,1
45,Avalugg,10
46,Axew,2
47,Azelf,11
48,Azumarill,14
49,Azurill,14
50,Bagon,2
51,Baltoy,6
52,Banette,7
53,Barbaracle,1
54,Barboach,14
55,Basculin,14
56,Bastiodon,10
57,Bayleef,15
58,Beartic,1
59,Beautifly,9
60,Beedrill,5
61,Beheeyem,6
62,Beldum,8
63,Bellossom,15
64,Bellsprout,5
65,Bergmite,10
66,Bibarel,1
67,Bidoof,4
68,Binacle,1
69,Bisharp,0
70,Blastoise,1
71,Blaziken,11
72,Blissey,6
73,Blitzle,13
74,Boldore,10
75,Bonsly,10
76,Bouffalant,10
77,Braixen,11
78,Braviary,16
79,Breloom,0
80,Bronzong,10
81,Bronzor,6
82,Budew,15
83,Buizel,1
84,Bulbasaur,15
85,Buneary,4
86,Bunnelby,4
87,Burmy,8
88,Butterfree,9
89,Cacnea,15
90,Cacturne,15
91,Camerupt,10
92,Carbink,10
93,Carnivine,15
94,Carracosta,10
95,Carvanha,7
96,Cascoon,5
97,Castform,14
98,Caterpie,8
99,Celebi,14
100,Chandelure,11
101,Chansey,6
102,Charmander,2
103,Charmeleon,2
104,Chatot,16
105,Cherrim,15
106,Cherubi,15
107,Chesnaught,0
108,Chespin,0
109,Chikorita,15
110,Chimchar,11
111,Chimecho,7
112,Chinchou,13
113,Chingling,7
114,Cinccino,0
115,Clamperl,14
116,Clauncher,14
117,Clawitzer,14
118,Claydol,6
119,Clefairy,12
120,Cleffa,6
121,Cloyster,4
122,Cobalion,0
123,Cofagrigus,7
124,Combee,9
125,Combusken,11
126,Conkeldurr,10
127,Corphish,1
128,Corsola,10
129,Cottonee,15
130,Cradily,10
131,Cranidos,10
132,Crawdaunt,1
133,Cresselia,6
134,Croagunk,5
135,Crobat,16
136,Croconaw,1
137,Crustle,10
138,Cryogonal,14
139,Cubchoo,1
140,Cubone,10
141,Cyndaquil,11
142,Darkrai,0
143,Darmanitan,11
144,Darumaka,11
145,Dedenne,13
146,Deerling,15
147,Deino,2
148,Delcatty,4
149,Delibird,14
150,Delphox,11
151,Deoxys,6
152,Deoxys-Attack,6
153,Deoxys-Defense,6
154,Deoxys-Speed,6
155,Dewgong,14
156,Dewott,14
157,Dialga,2
158,Diancie,10
159,Diggersby,4
160,Diglett,10
161,Ditto,8
162,Dodrio,16
163,Doduo,16
164,Donphan,4
165,Doublade,10
166,Dragalge,5
167,Dragonair,2
168,Dragonite,3
169,Drapion,5
170,Dratini,2
171,Drifblim,5
172,Drifloon,5
173,Drilbur,10
174,Drowzee,7
175,Druddigon,2
176,Ducklett,14
177,Dugtrio,0
178,Dunsparce,10
179,Duosion,6
180,Durant,10
181,Dusclops,6
182,Dusknoir,6
183,Duskull,7
184,Dustox,9
185,Dwebble,10
186,Eelektrik,5
187,Eelektross,2
188,Eevee,7
189,Ekans,5
190,Electabuzz,10
191,Electivire,13
192,Electrike,13
193,Electrode,13
194,Elekid,6
195,Elgyem,6
196,Emboar,11
197,Emolga,13
198,Empoleon,1
199,Entei,11
200,Escavalier,9
201,Espeon,7
202,Espurr,12
203,Excadrill,0
204,Exeggcute,6
205,Exeggutor,6
206,Exploud,12
207,Farfetch'd,16
208,Fearow,16
209,Feebas,2
210,Fennekin,11
211,Feraligatr,2
212,Ferroseed,10
213,Ferrothorn,10
214,Finneon,14
215,Flaaffy,13
216,Flabebe,12
217,Flareon,11
218,Fletchinder,16
219,Fletchling,16
220,Floatzel,1
221,Floette,12
222,Floette-Eternal,12
223,Florges,12
224,Flygon,3
225,Foongus,5
226,Forretress,10
227,Fraxure,2
228,Frillish,14
229,Froakie,1
230,Frogadier,1
231,Froslass,7
232,Furfrou,4
233,Furret,4
234,Gabite,2
235,Gallade,12
236,Galvantula,9
237,Garbodor,5
238,Gardevoir,12
239,Gastly,7
240,Gastrodon,10
241,Genesect,9
242,Gengar,5
243,Geodude,10
244,Gible,2
245,Gigalith,10
246,Girafarig,4
247,Giratina,3
248,Giratina-Origin,3
249,Glaceon,4
250,Glalie,14
251,Glameow,14
252,Gligar,5
253,Gliscor,5
