,Pokemon,ClusterPokemones
0,Abomasnow,Movimiento Ofensivo
1,Abra,Movimientos Especiales
2,Absol,Movimiento Ofensivo
3,Accelgor,Movimientos Especiales
4,Aegislash,Movimientos Especiales
5,Aerodactyl,Movimiento Ofensivo
6,Aggron,Movimiento Ofensivo
7,Aipom,Movimiento Ofensivo
8,Alakazam,Movimientos Especiales
9,Alomomola,Movimientos Especiales
10,Altaria,Movimientos Especiales
11,Amaura,Movimiento Ofensivo
12,Ambipom,Movimiento Ofensivo
13,Amoonguss,Movimientos Especiales
14,Ampharos,Movimiento Ofensivo
15,Anorith,Movimiento Ofensivo
16,Arbok,Movimiento Ofensivo
17,Arcanine,Movimiento Ofensivo
18,Arceus,Movimiento Ofensivo
19,Arceus-Bug,Movimiento Ofensivo
20,Arceus-Dark,Movimiento Ofensivo
21,Arceus-Dragon,Movimiento Ofensivo
22,Arceus-Electric,Movimiento Ofensivo
23,Arceus-Fairy,Movimiento Ofensivo
24,Arceus-Fighting,Movimiento Ofensivo
25,Arceus-Fire,Movimiento Ofensivo
26,Arceus-Flying,Movimiento Ofensivo
27,Arceus-Ghost,Movimiento Ofensivo
28,Arceus-Grass,Movimiento Ofensivo
29,Arceus-Ground,Movimiento Ofensivo
30,Arceus-Ice,Movimiento Ofensivo
31,Arceus-Poison,Movimiento Ofensivo
32,Arceus-Psychic,Movimiento Ofensivo
33,Arceus-Rock,Movimiento Ofensivo
34,Arceus-Steel,Movimiento Ofensivo
35,Arceus-Water,Movimiento Ofensivo
36,Archen,Movimiento Ofensivo
37,Archeops,Movimiento Ofensivo
38,Ariados,Movimientos Especiales
39,Armaldo,Movimiento Ofensivo
40,Aromatisse,Movimientos Especiales
41,Aron,Movimiento Ofensivo
42,Articuno,Movimientos Especiales
43,Audino,Movimientos Especiales
44,Aurorus,Movimiento Ofensivo
45,Avalugg,Movimiento Ofensivo
46,Axew,Movimiento Ofensivo
47,Azelf,Movimientos Especiales
48,Azumarill,Movimiento Ofensivo
49,Azurill,Movimiento Ofensivo
50,Bagon,Movimiento Ofensivo
51,Baltoy,Movimientos Especiales
52,Banette,Movimientos Especiales
53,Barbaracle,Movimiento Ofensivo
54,Barboach,Movimiento Ofensivo
55,Basculin,Movimiento Ofensivo
56,Bastiodon,Movimiento Ofensivo
