,Pokemon,ClusterPokemon
0,Abomasnow,6
1,Abra,0
2,Absol,10
3,Accelgor,12
4,Aegislash,13
5,Aerodactyl,4
6,Aggron,4
7,Aipom,7
8,Alakazam,0
9,Alomomola,2
10,Altaria,16
11,Amaura,10
12,Ambipom,7
13,Amoonguss,3
14,Ampharos,5
15,Anorith,10
16,Arbok,3
17,Arcanine,14
18,Arceus,4
19,Arceus-Bug,4
20,Arceus-Dark,4
21,Arceus-Dragon,4
22,Arceus-Electric,4
23,Arceus-Fairy,4
24,Arceus-Fighting,4
25,Arceus-Fire,4
26,Arceus-Flying,4
27,Arceus-Ghost,4
28,Arceus-Grass,4
29,Arceus-Ground,4
30,Arceus-Ice,4
31,Arceus-Poison,4
32,Arceus-Psychic,4
33,Arceus-Rock,4
34,Arceus-Steel,4
35,Arceus-Water,4
36,Archen,4
37,Archeops,16
38,Ariados,3
39,Armaldo,10
40,Aromatisse,11
41,Aron,10
42,Articuno,9
43,Audino,11
44,Aurorus,10
45,Avalugg,10
46,Axew,16
47,Azelf,7
48,Azumarill,2
49,Azurill,2
50,Bagon,16
51,Baltoy,13
52,Banette,15
53,Barbaracle,2
54,Barboach,2
55,Basculin,2
56,Bastiodon,10
57,Bayleef,8
58,Beartic,6
59,Beautifly,12
60,Beedrill,3
61,Beheeyem,0
62,Beldum,1
63,Bellossom,8
64,Bellsprout,3
65,Bergmite,10
66,Bibarel,2
67,Bidoof,15
68,Binacle,2
69,Bisharp,6
70,Blastoise,2
71,Blaziken,14
72,Blissey,6
73,Blitzle,5
74,Boldore,13
75,Bonsly,10
76,Bouffalant,10
77,Braixen,7
78,Braviary,9
79,Breloom,6
80,Bronzong,13
81,Bronzor,13
82,Budew,8
83,Buizel,2
84,Bulbasaur,8
85,Buneary,15
86,Bunnelby,6
87,Burmy,1
88,Butterfree,12
89,Cacnea,8
90,Cacturne,8
91,Camerupt,10
92,Carbink,13
93,Carnivine,8
94,Carracosta,10
95,Carvanha,15
96,Cascoon,3
97,Castform,2
98,Caterpie,1
99,Celebi,2
100,Chandelure,14
101,Chansey,6
102,Charmander,16
103,Charmeleon,16
104,Chatot,9
105,Cherrim,8
106,Cherubi,8
107,Chesnaught,8
108,Chespin,8
109,Chikorita,8
110,Chimchar,7
111,Chimecho,0
112,Chinchou,5
113,Chingling,0
114,Cinccino,6
115,Clamperl,2
116,Clauncher,2
117,Clawitzer,2
118,Claydol,13
119,Clefairy,11
120,Cleffa,0
121,Cloyster,15
122,Cobalion,6
123,Cofagrigus,8
124,Combee,12
125,Combusken,14
126,Conkeldurr,10
127,Corphish,2
128,Corsola,10
129,Cottonee,11
130,Cradily,13
131,Cranidos,10
132,Crawdaunt,6
133,Cresselia,0
134,Croagunk,3
135,Crobat,9
136,Croconaw,2
137,Crustle,10
138,Cryogonal,2
139,Cubchoo,6
140,Cubone,6
141,Cyndaquil,7
142,Darkrai,6
143,Darmanitan,14
144,Darumaka,14
145,Dedenne,5
146,Deerling,15
147,Deino,16
148,Delcatty,15
149,Delibird,2
150,Delphox,7
151,Deoxys,0
152,Deoxys-Attack,0
153,Deoxys-Defense,0
154,Deoxys-Speed,0
155,Dewgong,2
156,Dewott,2
157,Dialga,16
158,Diancie,13
159,Diggersby,6
160,Diglett,6
161,Ditto,1
162,Dodrio,9
163,Doduo,9
164,Donphan,6
165,Doublade,13
166,Dragalge,3
167,Dragonair,16
