,Pokemon,ClusterPokemones,TipoDominante
0,Abomasnow,Movimiento Ofensivo,rock
1,Abra,Movimientos Especiales,ground
2,Absol,Movimiento Ofensivo,ice
3,Accelgor,Movimientos Especiales,poison
4,Aegislash,Movimientos Especiales,poison
5,Aerodactyl,Movimiento Ofensivo,rock
6,Aggron,Movimiento Ofensivo,rock
7,Aipom,Movimiento Ofensivo,poison
8,Alakazam,Movimientos Especiales,ground
9,Alomomola,Movimientos Especiales,water
10,Altaria,Movimientos Especiales,dragon
11,Amaura,Movimiento Ofensivo,rock
12,Ambipom,Movimiento Ofensivo,poison
13,Amoonguss,Movimientos Especiales,poison
14,Ampharos,Movimiento Ofensivo,electric
15,Anorith,Movimiento Ofensivo,rock
16,Arbok,Movimiento Ofensivo,poison
17,Arcanine,Movimiento Ofensivo,fire
18,Arceus,Movimiento Ofensivo,poison
19,Arceus-Bug,Movimiento Ofensivo,poison
20,Arceus-Dark,Movimiento Ofensivo,poison
21,Arceus-Dragon,Movimiento Ofensivo,poison
22,Arceus-Electric,Movimiento Ofensivo,poison
23,Arceus-Fairy,Movimiento Ofensivo,poison
24,Arceus-Fighting,Movimiento Ofensivo,poison
25,Arceus-Fire,Movimiento Ofensivo,poison
26,Arceus-Flying,Movimiento Ofensivo,poison
27,Arceus-Ghost,Movimiento Ofensivo,poison
28,Arceus-Grass,Movimiento Ofensivo,poison
29,Arceus-Ground,Movimiento Ofensivo,poison
30,Arceus-Ice,Movimiento Ofensivo,poison
31,Arceus-Poison,Movimiento Ofensivo,poison
32,Arceus-Psychic,Movimiento Ofensivo,poison
33,Arceus-Rock,Movimiento Ofensivo,poison
34,Arceus-Steel,Movimiento Ofensivo,poison
35,Arceus-Water,Movimiento Ofensivo,poison
36,Archen,Movimiento Ofensivo,rock
37,Archeops,Movimiento Ofensivo,rock
38,Ariados,Movimientos Especiales,poison
39,Armaldo,Movimiento Ofensivo,rock
40,Aromatisse,Movimientos Especiales,ice
41,Aron,Movimiento Ofensivo,rock
42,Articuno,Movimientos Especiales,flying
43,Audino,Movimientos Especiales,ice
44,Aurorus,Movimiento Ofensivo,rock
45,Avalugg,Movimiento Ofensivo,rock
46,Axew,Movimiento Ofensivo,dragon
47,Azelf,Movimientos Especiales,fire
48,Azumarill,Movimiento Ofensivo,water
49,Azurill,Movimiento Ofensivo,water
50,Bagon,Movimiento Ofensivo,dragon
