,NombresPokemon,TipoDominante,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,poison,psychic,rock,steel,water
0,Abomasnow,rock,0,0,0,0,0,0,0,0,0,2,0,3,2,0,4,0,1
1,Abra,ground,0,0,0,0,0,0,1,1,0,1,2,2,2,0,0,0,0
2,Absol,ice,0,1,0,0,0,0,1,0,1,0,0,3,2,0,3,0,1
3,Accelgor,poison,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1
4,Aegislash,poison,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
5,Aerodactyl,rock,0,0,3,0,0,1,2,2,2,0,1,2,2,0,4,1,0
6,Aggron,rock,0,1,4,0,0,0,2,0,1,0,2,2,2,0,5,0,1
7,Aipom,poison,0,0,0,0,0,0,1,0,0,1,0,2,3,0,1,0,1
8,Alakazam,ground,0,1,0,0,0,0,1,1,0,1,2,2,2,1,0,0,0
9,Alomomola,water,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
10,Altaria,dragon,0,0,5,0,1,0,1,2,0,0,0,4,2,0,1,1,0
11,Amaura,rock,0,1,1,0,0,0,0,0,0,0,1,3,2,0,5,0,1
12,Ambipom,poison,0,0,0,0,0,0,1,0,0,1,0,2,3,0,1,0,1
13,Amoonguss,poison,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
14,Ampharos,electric,0,0,1,4,0,1,1,0,0,0,2,1,2,0,2,0,0
15,Anorith,rock,1,0,0,0,0,0,0,0,1,0,1,0,3,0,5,0,2
16,Arbok,poison,0,1,1,0,0,0,1,0,0,0,0,2,14,0,2,0,0
17,Arcanine,fire,0,0,1,0,0,1,3,0,0,0,0,1,2,0,2,0,0
18,Arceus,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
19,Arceus-Bug,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
20,Arceus-Dark,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
21,Arceus-Dragon,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
22,Arceus-Electric,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
23,Arceus-Fairy,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
24,Arceus-Fighting,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
25,Arceus-Fire,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
26,Arceus-Flying,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
27,Arceus-Ghost,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
28,Arceus-Grass,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
29,Arceus-Ground,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
30,Arceus-Ice,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
31,Arceus-Poison,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
32,Arceus-Psychic,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
33,Arceus-Rock,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
34,Arceus-Steel,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
35,Arceus-Water,poison,0,1,2,0,0,0,1,1,0,1,2,3,5,0,4,0,1
36,Archen,rock,0,0,3,0,0,0,0,2,0,0,1,1,2,0,5,1,0
37,Archeops,rock,0,0,4,0,0,0,0,2,0,0,1,1,2,0,5,1,0
38,Ariados,poison,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
39,Armaldo,rock,1,0,0,0,0,0,0,0,1,0,1,0,3,0,5,0,2
40,Aromatisse,ice,0,0,1,0,2,1,0,0,0,0,1,3,2,0,0,0,0
41,Aron,rock,0,0,1,0,0,0,0,0,1,0,1,0,2,0,4,0,1
42,Articuno,flying,0,0,0,0,0,0,0,2,0,0,0,2,2,0,1,1,2
43,Audino,ice,0,0,1,0,1,0,2,1,0,1,3,6,2,0,0,0,0
44,Aurorus,rock,0,1,1,0,0,0,0,0,0,0,1,3,2,0,5,0,2
45,Avalugg,rock,0,0,0,0,0,0,0,0,1,0,0,3,2,0,4,0,1
46,Axew,dragon,0,0,4,0,0,0,0,0,0,0,0,1,4,0,2,0,0
47,Azelf,fire,0,0,0,0,0,0,2,0,0,1,1,2,2,0,0,0,1
48,Azumarill,water,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,4
49,Azurill,water,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4
50,Bagon,dragon,0,0,6,0,0,0,2,0,0,0,0,1,2,0,3,0,0
51,Baltoy,ground,0,0,0,0,0,0,0,1,0,1,3,1,2,0,3,0,0
52,Banette,poison,0,1,0,0,0,1,0,0,2,0,1,1,3,0,0,0,0
53,Barbaracle,poison,0,0,1,0,0,0,0,0,0,1,1,2,6,0,4,0,3
54,Barboach,water,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,3
55,Basculin,poison,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
56,Bastiodon,rock,0,0,0,0,0,0,1,0,1,0,2,2,2,0,5,0,0
57,Bayleef,grass,0,0,0,0,0,0,0,0,0,5,1,1,3,0,1,0,1
58,Beartic,ice,0,0,0,0,0,0,0,0,0,1,0,4,2,0,3,0,1
